2026-01-21 03:05:11.785969 ALERT {'timestamp': '2026-01-16T02:07:31.550491', 'event_type': 'NETWORK_CONNECT', 'detail': '127.0.0.1', None: ['127.0.0.1:5000', 'POST', '4096', 'WgZb3i8+fPjExMSGl26j+Hy3SqUy28JtSpNJp+e6oHHjVVU+vgYMXVk1+YeH02cQvC3btvUYG4sbK/Krepzm0LmvvvridG9nQaba4rB2WCo/+M0XR2H47LmDU0iBCxG/qUzrh79tLS+fOvpex8GOTEWeEAlwc41OY5dzm8tv4IsAjojNifTYgofU4sG7IMQiCfxJNDZG']}
2026-01-21 03:05:11.786022 ALERT {'timestamp': '2026-01-16T02:07:31.846169', 'event_type': 'NETWORK_CONNECT', 'detail': '127.0.0.1', None: ['127.0.0.1:5000', 'POST', '4096', 'bMFNYOusxWNlhVDDWtBoAWAJ4YkqcCwHLtaTGmOVwcOgnz5FRUUL/uJxXHzGbVUfI/WFS4VRgkdeiV7J/BOCYwwv7zyKoXvjgnWc3nj85XG3u6CtoADxEB6dwPz+XlR2+fKe4b7Rs0eOHDmLqNkZsAT6Rkd37ryA/nL27NAo+kvB1pKjs8ePL/3PW33Zex1ikiRVZh7d']}
2026-01-21 03:05:11.786054 ALERT {'timestamp': '2026-01-16T02:07:31.933742', 'event_type': 'NETWORK_CONNECT', 'detail': '127.0.0.1', None: ['127.0.0.1:5000', 'POST', '4096', 'GEiDThZVXxRUqrTXGnjvi9NiI+jv4a1TW2FcLDdKdlvDZFNTNPVtbOzvbgzKg+CEF8uOTlhnjoQcarUVKzAfW2gFAthBI4BvOkXCCuysFxlUpGBxsHmx2QkKjAUYGWiuiiUSkGKzNMI6PG6YR8my3GB3OPQCgEUYYJYv2hdkBRksLCYsjvE7jfh9edWKVStheBWU6tH/']}
2026-01-21 03:05:11.786086 ALERT {'timestamp': '2026-01-16T02:07:31.994674', 'event_type': 'NETWORK_CONNECT', 'detail': '127.0.0.1', None: ['127.0.0.1:5000', 'POST', '4096', 'MSx5Gwktkt+87gylUgsnR055sKLUhIw05rcx6NRvqKkpLvZNNvfb7YsA8Nkjge2JNnVtrboaAOYr1BzANqk0MbG8ujAtV1qOAC436GXRIhaSW6EIKzDXGMLlwJSEpHnJADAbAcvL4rnQ1DLAJAJY3ZvUG+r39U9Pf1yiKV0w+IqjAP/7rV8ys8GgcdNKFevomuXiwAFE']}
2026-01-21 03:05:11.786118 ALERT {'timestamp': '2026-01-16T02:07:32.048541', 'event_type': 'NETWORK_CONNECT', 'detail': '127.0.0.1', None: ['127.0.0.1:5000', 'POST', '4096', 'NOCLsDXhS8LoD5wEV6EwVrGbDxx7An8XDz/32r9u3TpTXGwshjXf+FY/Jlhu1wm855a2zgDAZa7wsgL7HRzAZj4+AuZyYHM9v9dqsSKC1ZZMG6Mj3RLkpAFgLQF3lCSM29GLBBjsMyDc2xtNfwHgnJwNe6fzp39e0b6ufV1vSJ6XRzGEECbRemiSLi297RnQK6VV3rYq']}
2026-01-21 03:05:11.786150 ALERT {'timestamp': '2026-01-16T02:07:32.110135', 'event_type': 'NETWORK_CONNECT', 'detail': '127.0.0.1', None: ['127.0.0.1:5000', 'POST', '4096', '74RlV2vXto6OgT0DT3VWPn7onXfee++w9fktDS0DJwZwJRoOviTrvc24HVjodg8NuVUmsViOh0iYha7YfCMF3rDhmTcEYiP8C+RisWPT2//2pseqNzR0AbldHQ0E4C791+wGnbPQpjVrzbV1TeW7h//5HWePwYCDDaQSjz4aqHnh5y/9fKy4+PxZOkbyf6GYnfegefvG']}
2026-01-21 03:05:11.786182 ALERT {'timestamp': '2026-01-16T02:07:32.176072', 'event_type': 'NETWORK_CONNECT', 'detail': '127.0.0.1', None: ['127.0.0.1:5000', 'POST', '4096', 'sQp0qUctDXrMNveGy2fPHtlUJlcx2hF0oj0yczgQ0HoEFU84+3pFbhX6ORQVYngPmre07WGVCiJXBx7wksBVThFnFxxcNgMlNskdZdVGkE8KIGbujHP3EBOPJuIf7kB+keCTMyDm6J2BLll99vviC4MdreUNLXWsibT9/X5r9EfJzNFTLMBdJ/YNDG7ZkpJgLIDWkiQW']}
2026-01-21 03:05:11.786214 ALERT {'timestamp': '2026-01-16T02:07:32.239893', 'event_type': 'NETWORK_CONNECT', 'detail': '127.0.0.1', None: ['127.0.0.1:5000', 'POST', '4096', 'cE7GnBUOMoaSm8XByL/1OafLpB57SKLFTp04xIwxjbZ/oMui1w0eG7AoFJh9Vn6dqznHcKCqv7zRMGohRZANKYa1dbrRUQtxoUUGHQKsap4hvxgAgwB7q5vL3DKZC5NXAK/FYLEprEIwiU1oUCj9SllaOaw5C+kIACxV6L0bymihOSaJJTQxpcfpdHsi8UQ0GrH7fA4H']}
2026-01-21 03:05:11.786246 ALERT {'timestamp': '2026-01-16T02:07:32.338569', 'event_type': 'NETWORK_CONNECT', 'detail': '127.0.0.1', None: ['127.0.0.1:5000', 'POST', '4096', '11vvlNSSziONBhcrgAjrvZ2duFxBqHe6nEM1bYivQFCBw6DLav6WyzATgBsbG6094GkT7SWveldn+h70OspNByk6BpGvQ4XD2+3gMiPAuHYJty/bcf0FFmTF45N2frP3XzrARICzCyOh2FQYE1j3Ti1ZubKkZGWJ1X5JrY6eGp8aCURFMVFBHvLLdhrNKHFm42hujFaK']}
2026-01-21 03:05:11.786278 ALERT {'timestamp': '2026-01-16T02:07:32.423899', 'event_type': 'NETWORK_CONNECT', 'detail': '127.0.0.1', None: ['127.0.0.1:5000', 'POST', '4096', 'crEvYncsuH0Ao/QuCX9x5crFi5ol+Vm5Wbd9wCdvvN0+Ad5e1dQ/ODC4bbDlvoXXFB/OevPQOx99dGjzpl2E300v7jt27NjzG597zgAhcKPNoNPr8BhJHVRjJwMAbGOT0PDquqEgzlp6pLGRFWAkuDutPuAfrKnbP5KIRsznjh29OHkxEosmYvEEa+BByylMQjtW38oT']}
